Source_Id,Source_Type
1,Manga
2,Original
3,Light novel
4,4-koma manga
5,Visual novel
6,Other
7,Game
8,Music
9,Card game
10,Digital manga
11,Web manga
12,Picture book
13,Book
14,Novel
15,Radio
